INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  52.15, Acc-val:  51.02, L-tr: 1.3028, L-val: 1.3214
INFO:root:001: Acc-tr:  58.14, Acc-val:  57.06, L-tr: 1.2416, L-val: 1.2883
INFO:root:002: Acc-tr:  69.22, Acc-val:  67.74, L-tr: 0.9270, L-val: 0.9927
INFO:root:003: Acc-tr:  74.06, Acc-val:  70.93, L-tr: 0.7369, L-val: 0.8489
INFO:root:004: Acc-tr:  77.25, Acc-val:  73.97, L-tr: 0.6349, L-val: 0.7566
INFO:root:005: Acc-tr:  77.57, Acc-val:  74.08, L-tr: 0.6386, L-val: 0.7730
INFO:root:006: Acc-tr:  81.80, Acc-val:  77.26, L-tr: 0.5261, L-val: 0.6775
INFO:root:007: Acc-tr:  84.31, Acc-val:  78.88, L-tr: 0.4494, L-val: 0.6282
INFO:root:008: Acc-tr:  85.52, Acc-val:  80.05, L-tr: 0.4057, L-val: 0.6128
INFO:root:009: Acc-tr:  85.99, Acc-val:  79.42, L-tr: 0.3899, L-val: 0.6276
INFO:root:010: Acc-tr:  87.94, Acc-val:  80.97, L-tr: 0.3400, L-val: 0.5610
INFO:root:011: Acc-tr:  84.92, Acc-val:  77.79, L-tr: 0.4495, L-val: 0.7590
INFO:root:012: Acc-tr:  89.45, Acc-val:  81.75, L-tr: 0.3018, L-val: 0.5830
INFO:root:013: Acc-tr:  87.05, Acc-val:  78.70, L-tr: 0.3666, L-val: 0.7003
INFO:root:014: Acc-tr:  90.63, Acc-val:  81.58, L-tr: 0.2663, L-val: 0.5877
INFO:root:015: Acc-tr:  91.22, Acc-val:  81.89, L-tr: 0.2455, L-val: 0.5719
INFO:root:016: Acc-tr:  92.07, Acc-val:  82.19, L-tr: 0.2285, L-val: 0.5777
INFO:root:017: Acc-tr:  91.51, Acc-val:  81.56, L-tr: 0.2399, L-val: 0.6201
INFO:root:018: Acc-tr:  92.36, Acc-val:  81.54, L-tr: 0.2200, L-val: 0.6317
INFO:root:019: Acc-tr:  91.64, Acc-val:  80.62, L-tr: 0.2352, L-val: 0.6511
INFO:root:020: Acc-tr:  91.61, Acc-val:  81.09, L-tr: 0.2369, L-val: 0.6684
INFO:root:021: Acc-tr:  91.21, Acc-val:  80.22, L-tr: 0.2450, L-val: 0.7073
INFO:root:022: Acc-tr:  90.41, Acc-val:  79.41, L-tr: 0.2651, L-val: 0.7612
INFO:root:023: Acc-tr:  92.19, Acc-val:  81.10, L-tr: 0.2182, L-val: 0.6656
INFO:root:024: Acc-tr:  92.45, Acc-val:  80.89, L-tr: 0.2129, L-val: 0.7300
