INFO:root:Number of parameters: 77850
INFO:root:000: Acc-tr:  50.97, Acc-val:  50.54, L-tr: 1.3225, L-val: 1.3283
INFO:root:001: Acc-tr:  55.78, Acc-val:  54.75, L-tr: 1.3381, L-val: 1.3552
INFO:root:002: Acc-tr:  57.12, Acc-val:  55.70, L-tr: 1.2663, L-val: 1.3106
INFO:root:003: Acc-tr:  60.09, Acc-val:  59.38, L-tr: 1.1717, L-val: 1.2067
INFO:root:004: Acc-tr:  59.70, Acc-val:  58.16, L-tr: 1.2767, L-val: 1.3300
INFO:root:005: Acc-tr:  67.97, Acc-val:  65.93, L-tr: 0.9916, L-val: 1.0549
INFO:root:006: Acc-tr:  67.22, Acc-val:  65.43, L-tr: 1.0133, L-val: 1.0867
INFO:root:007: Acc-tr:  66.05, Acc-val:  64.32, L-tr: 1.0825, L-val: 1.1568
INFO:root:008: Acc-tr:  65.54, Acc-val:  63.95, L-tr: 1.0538, L-val: 1.1440
INFO:root:009: Acc-tr:  73.00, Acc-val:  71.27, L-tr: 0.8089, L-val: 0.8832
INFO:root:010: Acc-tr:  71.80, Acc-val:  69.57, L-tr: 0.8169, L-val: 0.8991
INFO:root:011: Acc-tr:  65.09, Acc-val:  63.37, L-tr: 1.0590, L-val: 1.1457
INFO:root:012: Acc-tr:  76.10, Acc-val:  73.86, L-tr: 0.7002, L-val: 0.7939
INFO:root:013: Acc-tr:  76.38, Acc-val:  73.26, L-tr: 0.7214, L-val: 0.8403
INFO:root:014: Acc-tr:  73.37, Acc-val:  70.77, L-tr: 0.7772, L-val: 0.8757
INFO:root:015: Acc-tr:  75.71, Acc-val:  73.38, L-tr: 0.7243, L-val: 0.8310
INFO:root:016: Acc-tr:  64.87, Acc-val:  63.04, L-tr: 1.3131, L-val: 1.4376
INFO:root:017: Acc-tr:  79.31, Acc-val:  76.32, L-tr: 0.6212, L-val: 0.7345
INFO:root:018: Acc-tr:  68.52, Acc-val:  66.16, L-tr: 1.0721, L-val: 1.1956
INFO:root:019: Acc-tr:  73.08, Acc-val:  70.50, L-tr: 0.8369, L-val: 0.9554
INFO:root:020: Acc-tr:  81.52, Acc-val:  78.37, L-tr: 0.5465, L-val: 0.6753
INFO:root:021: Acc-tr:  81.86, Acc-val:  78.68, L-tr: 0.5264, L-val: 0.6572
INFO:root:022: Acc-tr:  82.61, Acc-val:  79.18, L-tr: 0.5094, L-val: 0.6472
INFO:root:023: Acc-tr:  82.96, Acc-val:  79.51, L-tr: 0.4963, L-val: 0.6352
INFO:root:024: Acc-tr:  81.96, Acc-val:  78.69, L-tr: 0.5352, L-val: 0.6792
INFO:root:025: Acc-tr:  83.31, Acc-val:  79.50, L-tr: 0.4886, L-val: 0.6386
INFO:root:026: Acc-tr:  83.27, Acc-val:  79.62, L-tr: 0.4887, L-val: 0.6400
INFO:root:027: Acc-tr:  83.20, Acc-val:  79.68, L-tr: 0.4901, L-val: 0.6426
INFO:root:028: Acc-tr:  82.79, Acc-val:  79.01, L-tr: 0.5070, L-val: 0.6615
INFO:root:029: Acc-tr:  84.05, Acc-val:  80.32, L-tr: 0.4625, L-val: 0.6173
INFO:root:030: Acc-tr:  83.12, Acc-val:  79.01, L-tr: 0.5011, L-val: 0.6681
INFO:root:031: Acc-tr:  82.63, Acc-val:  78.94, L-tr: 0.5102, L-val: 0.6692
INFO:root:032: Acc-tr:  83.18, Acc-val:  79.29, L-tr: 0.4896, L-val: 0.6502
INFO:root:033: Acc-tr:  83.08, Acc-val:  79.19, L-tr: 0.4954, L-val: 0.6594
INFO:root:034: Acc-tr:  82.89, Acc-val:  78.69, L-tr: 0.5118, L-val: 0.6921
INFO:root:035: Acc-tr:  83.99, Acc-val:  79.86, L-tr: 0.4665, L-val: 0.6413
INFO:root:036: Acc-tr:  84.08, Acc-val:  79.99, L-tr: 0.4602, L-val: 0.6259
INFO:root:037: Acc-tr:  85.04, Acc-val:  80.78, L-tr: 0.4327, L-val: 0.6051
INFO:root:038: Acc-tr:  84.52, Acc-val:  80.47, L-tr: 0.4527, L-val: 0.6265
INFO:root:039: Acc-tr:  84.15, Acc-val:  79.99, L-tr: 0.4625, L-val: 0.6386
INFO:root:040: Acc-tr:  84.92, Acc-val:  80.59, L-tr: 0.4401, L-val: 0.6136
INFO:root:041: Acc-tr:  85.24, Acc-val:  81.01, L-tr: 0.4306, L-val: 0.6063
INFO:root:042: Acc-tr:  85.19, Acc-val:  80.96, L-tr: 0.4305, L-val: 0.6052
INFO:root:043: Acc-tr:  85.12, Acc-val:  80.81, L-tr: 0.4337, L-val: 0.6113
INFO:root:044: Acc-tr:  85.07, Acc-val:  80.78, L-tr: 0.4355, L-val: 0.6119
INFO:root:045: Acc-tr:  85.02, Acc-val:  80.85, L-tr: 0.4349, L-val: 0.6117
INFO:root:046: Acc-tr:  85.15, Acc-val:  80.80, L-tr: 0.4323, L-val: 0.6107
INFO:root:047: Acc-tr:  85.52, Acc-val:  81.32, L-tr: 0.4204, L-val: 0.5998
INFO:root:048: Acc-tr:  85.28, Acc-val:  80.95, L-tr: 0.4287, L-val: 0.6093
INFO:root:049: Acc-tr:  85.30, Acc-val:  81.02, L-tr: 0.4284, L-val: 0.6092
INFO:root:050: Acc-tr:  85.18, Acc-val:  80.86, L-tr: 0.4333, L-val: 0.6148
INFO:root:051: Acc-tr:  85.11, Acc-val:  80.76, L-tr: 0.4335, L-val: 0.6132
INFO:root:052: Acc-tr:  85.08, Acc-val:  80.67, L-tr: 0.4351, L-val: 0.6167
INFO:root:053: Acc-tr:  85.07, Acc-val:  80.80, L-tr: 0.4318, L-val: 0.6107
INFO:root:054: Acc-tr:  84.94, Acc-val:  80.42, L-tr: 0.4401, L-val: 0.6196
INFO:root:055: Acc-tr:  85.02, Acc-val:  80.65, L-tr: 0.4381, L-val: 0.6201
INFO:root:056: Acc-tr:  84.93, Acc-val:  80.68, L-tr: 0.4385, L-val: 0.6200
INFO:root:057: Acc-tr:  84.76, Acc-val:  80.58, L-tr: 0.4399, L-val: 0.6216
INFO:root:058: Acc-tr:  85.15, Acc-val:  80.80, L-tr: 0.4324, L-val: 0.6141
INFO:root:059: Acc-tr:  85.04, Acc-val:  80.90, L-tr: 0.4353, L-val: 0.6166
INFO:root:060: Acc-tr:  84.96, Acc-val:  80.65, L-tr: 0.4378, L-val: 0.6196
INFO:root:061: Acc-tr:  85.11, Acc-val:  80.71, L-tr: 0.4332, L-val: 0.6165
INFO:root:062: Acc-tr:  84.84, Acc-val:  80.61, L-tr: 0.4390, L-val: 0.6204
INFO:root:063: Acc-tr:  85.15, Acc-val:  80.79, L-tr: 0.4328, L-val: 0.6158
INFO:root:064: Acc-tr:  85.25, Acc-val:  80.77, L-tr: 0.4307, L-val: 0.6132
INFO:root:065: Acc-tr:  84.96, Acc-val:  80.69, L-tr: 0.4372, L-val: 0.6190
INFO:root:066: Acc-tr:  85.11, Acc-val:  80.71, L-tr: 0.4345, L-val: 0.6173
INFO:root:067: Acc-tr:  84.93, Acc-val:  80.54, L-tr: 0.4394, L-val: 0.6231
INFO:root:068: Acc-tr:  85.00, Acc-val:  80.56, L-tr: 0.4376, L-val: 0.6212
INFO:root:069: Acc-tr:  85.16, Acc-val:  80.77, L-tr: 0.4318, L-val: 0.6141
INFO:root:070: Acc-tr:  85.21, Acc-val:  80.86, L-tr: 0.4294, L-val: 0.6107
INFO:root:071: Acc-tr:  85.10, Acc-val:  80.60, L-tr: 0.4346, L-val: 0.6193
INFO:root:072: Acc-tr:  85.12, Acc-val:  80.61, L-tr: 0.4326, L-val: 0.6145
INFO:root:073: Acc-tr:  85.22, Acc-val:  80.77, L-tr: 0.4314, L-val: 0.6151
INFO:root:074: Acc-tr:  85.14, Acc-val:  80.86, L-tr: 0.4324, L-val: 0.6136
INFO:root:075: Acc-tr:  85.01, Acc-val:  80.70, L-tr: 0.4365, L-val: 0.6183
INFO:root:076: Acc-tr:  85.12, Acc-val:  80.77, L-tr: 0.4333, L-val: 0.6162
INFO:root:077: Acc-tr:  84.82, Acc-val:  80.42, L-tr: 0.4431, L-val: 0.6285
INFO:root:078: Acc-tr:  85.27, Acc-val:  80.90, L-tr: 0.4282, L-val: 0.6095
INFO:root:079: Acc-tr:  84.86, Acc-val:  80.61, L-tr: 0.4394, L-val: 0.6215
INFO:root:080: Acc-tr:  85.30, Acc-val:  80.90, L-tr: 0.4297, L-val: 0.6148
INFO:root:081: Acc-tr:  85.13, Acc-val:  80.78, L-tr: 0.4323, L-val: 0.6144
INFO:root:082: Acc-tr:  85.30, Acc-val:  80.85, L-tr: 0.4286, L-val: 0.6103
INFO:root:083: Acc-tr:  85.21, Acc-val:  80.88, L-tr: 0.4302, L-val: 0.6118
INFO:root:084: Acc-tr:  85.04, Acc-val:  80.71, L-tr: 0.4362, L-val: 0.6188
INFO:root:085: Acc-tr:  85.07, Acc-val:  80.66, L-tr: 0.4346, L-val: 0.6192
INFO:root:086: Acc-tr:  85.22, Acc-val:  80.98, L-tr: 0.4303, L-val: 0.6097
INFO:root:087: Acc-tr:  85.16, Acc-val:  80.89, L-tr: 0.4313, L-val: 0.6123
INFO:root:088: Acc-tr:  85.13, Acc-val:  80.72, L-tr: 0.4316, L-val: 0.6167
INFO:root:089: Acc-tr:  85.20, Acc-val:  80.78, L-tr: 0.4309, L-val: 0.6139
INFO:root:090: Acc-tr:  85.32, Acc-val:  80.96, L-tr: 0.4267, L-val: 0.6106
INFO:root:091: Acc-tr:  85.20, Acc-val:  80.75, L-tr: 0.4312, L-val: 0.6139
INFO:root:092: Acc-tr:  84.89, Acc-val:  80.57, L-tr: 0.4410, L-val: 0.6254
INFO:root:093: Acc-tr:  85.23, Acc-val:  80.92, L-tr: 0.4298, L-val: 0.6108
INFO:root:094: Acc-tr:  85.17, Acc-val:  80.85, L-tr: 0.4348, L-val: 0.6197
INFO:root:095: Acc-tr:  85.17, Acc-val:  80.85, L-tr: 0.4324, L-val: 0.6156
INFO:root:096: Acc-tr:  85.29, Acc-val:  81.01, L-tr: 0.4255, L-val: 0.6067
INFO:root:097: Acc-tr:  85.37, Acc-val:  80.88, L-tr: 0.4253, L-val: 0.6054
INFO:root:098: Acc-tr:  85.23, Acc-val:  80.86, L-tr: 0.4290, L-val: 0.6095
INFO:root:099: Acc-tr:  85.08, Acc-val:  80.74, L-tr: 0.4346, L-val: 0.6188
