INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  26.71, Acc-val:  26.78, L-tr: 2.1188, L-val: 2.1245
INFO:root:001: Acc-tr:  32.91, Acc-val:  31.62, L-tr: 2.0363, L-val: 2.0557
INFO:root:002: Acc-tr:  36.82, Acc-val:  34.95, L-tr: 1.9697, L-val: 2.0089
INFO:root:003: Acc-tr:  38.74, Acc-val:  36.06, L-tr: 1.9391, L-val: 1.9961
INFO:root:004: Acc-tr:  39.61, Acc-val:  36.19, L-tr: 1.9213, L-val: 1.9888
INFO:root:005: Acc-tr:  37.82, Acc-val:  34.33, L-tr: 1.9559, L-val: 2.0498
INFO:root:006: Acc-tr:  41.04, Acc-val:  36.17, L-tr: 1.8938, L-val: 2.0017
INFO:root:007: Acc-tr:  40.67, Acc-val:  35.53, L-tr: 1.8923, L-val: 2.0138
INFO:root:008: Acc-tr:  44.39, Acc-val:  39.03, L-tr: 1.8130, L-val: 1.9579
