INFO:root:Number of parameters: 77850
INFO:root:061: Acc-tr:  13.87, Acc-val:   9.76, L-tr: 2.2836, L-val: 2.3126
INFO:root:062: Acc-tr:  13.95, Acc-val:   9.87, L-tr: 2.2836, L-val: 2.3126
INFO:root:063: Acc-tr:  13.94, Acc-val:   9.95, L-tr: 2.2833, L-val: 2.3128
INFO:root:064: Acc-tr:  13.98, Acc-val:   9.89, L-tr: 2.2833, L-val: 2.3128
INFO:root:065: Acc-tr:  13.92, Acc-val:   9.85, L-tr: 2.2834, L-val: 2.3126
INFO:root:066: Acc-tr:  13.99, Acc-val:   9.85, L-tr: 2.2833, L-val: 2.3127
INFO:root:067: Acc-tr:  13.98, Acc-val:   9.89, L-tr: 2.2831, L-val: 2.3130
INFO:root:068: Acc-tr:  13.94, Acc-val:   9.87, L-tr: 2.2830, L-val: 2.3130
INFO:root:069: Acc-tr:  13.97, Acc-val:   9.97, L-tr: 2.2830, L-val: 2.3131
INFO:root:070: Acc-tr:  13.98, Acc-val:   9.90, L-tr: 2.2829, L-val: 2.3130
INFO:root:071: Acc-tr:  13.91, Acc-val:   9.95, L-tr: 2.2830, L-val: 2.3130
INFO:root:072: Acc-tr:  13.95, Acc-val:   9.87, L-tr: 2.2831, L-val: 2.3131
INFO:root:073: Acc-tr:  13.94, Acc-val:   9.81, L-tr: 2.2832, L-val: 2.3129
INFO:root:074: Acc-tr:  13.97, Acc-val:  10.06, L-tr: 2.2831, L-val: 2.3132
INFO:root:075: Acc-tr:  13.94, Acc-val:   9.93, L-tr: 2.2831, L-val: 2.3130
INFO:root:076: Acc-tr:  13.93, Acc-val:   9.88, L-tr: 2.2831, L-val: 2.3129
INFO:root:077: Acc-tr:  13.97, Acc-val:   9.84, L-tr: 2.2830, L-val: 2.3131
INFO:root:078: Acc-tr:  13.99, Acc-val:   9.96, L-tr: 2.2830, L-val: 2.3129
INFO:root:079: Acc-tr:  13.98, Acc-val:   9.99, L-tr: 2.2829, L-val: 2.3128
INFO:root:080: Acc-tr:  13.92, Acc-val:   9.90, L-tr: 2.2832, L-val: 2.3130
INFO:root:081: Acc-tr:  13.96, Acc-val:  10.00, L-tr: 2.2828, L-val: 2.3130
INFO:root:082: Acc-tr:  13.95, Acc-val:   9.97, L-tr: 2.2831, L-val: 2.3128
INFO:root:083: Acc-tr:  13.93, Acc-val:  10.03, L-tr: 2.2829, L-val: 2.3129
INFO:root:084: Acc-tr:  13.92, Acc-val:   9.77, L-tr: 2.2833, L-val: 2.3128
INFO:root:085: Acc-tr:  13.98, Acc-val:  10.03, L-tr: 2.2829, L-val: 2.3129
INFO:root:086: Acc-tr:  13.94, Acc-val:  10.06, L-tr: 2.2830, L-val: 2.3131
INFO:root:087: Acc-tr:  13.98, Acc-val:  10.08, L-tr: 2.2830, L-val: 2.3131
INFO:root:088: Acc-tr:  13.90, Acc-val:   9.93, L-tr: 2.2832, L-val: 2.3130
INFO:root:089: Acc-tr:  13.92, Acc-val:   9.92, L-tr: 2.2830, L-val: 2.3131
INFO:root:090: Acc-tr:  13.88, Acc-val:   9.97, L-tr: 2.2832, L-val: 2.3130
INFO:root:091: Acc-tr:  13.92, Acc-val:   9.87, L-tr: 2.2829, L-val: 2.3129
INFO:root:092: Acc-tr:  13.99, Acc-val:   9.97, L-tr: 2.2830, L-val: 2.3130
INFO:root:093: Acc-tr:  13.96, Acc-val:   9.97, L-tr: 2.2831, L-val: 2.3130
INFO:root:094: Acc-tr:  13.96, Acc-val:   9.90, L-tr: 2.2831, L-val: 2.3129
INFO:root:095: Acc-tr:  13.98, Acc-val:   9.97, L-tr: 2.2832, L-val: 2.3129
INFO:root:096: Acc-tr:  13.94, Acc-val:   9.98, L-tr: 2.2832, L-val: 2.3130
INFO:root:097: Acc-tr:  13.96, Acc-val:   9.89, L-tr: 2.2831, L-val: 2.3128
INFO:root:098: Acc-tr:  13.94, Acc-val:   9.88, L-tr: 2.2831, L-val: 2.3128
INFO:root:099: Acc-tr:  13.96, Acc-val:   9.91, L-tr: 2.2832, L-val: 2.3129
INFO:root:100: Acc-tr:  14.00, Acc-val:   9.88, L-tr: 2.2830, L-val: 2.3129
