INFO:root:Number of parameters: 77850
INFO:root:000: Acc-tr:  47.90, Acc-val:  47.69, L-tr: 1.4560, L-val: 1.4634
INFO:root:001: Acc-tr:  57.35, Acc-val:  56.30, L-tr: 1.2612, L-val: 1.2905
INFO:root:002: Acc-tr:  62.92, Acc-val:  61.85, L-tr: 1.0588, L-val: 1.1021
INFO:root:003: Acc-tr:  65.15, Acc-val:  63.75, L-tr: 1.0055, L-val: 1.0518
INFO:root:004: Acc-tr:  68.46, Acc-val:  66.59, L-tr: 0.9087, L-val: 0.9751
INFO:root:005: Acc-tr:  66.19, Acc-val:  65.16, L-tr: 1.0285, L-val: 1.0991
INFO:root:006: Acc-tr:  70.65, Acc-val:  68.60, L-tr: 0.8324, L-val: 0.9003
INFO:root:007: Acc-tr:  63.97, Acc-val:  62.70, L-tr: 1.1836, L-val: 1.2644
INFO:root:008: Acc-tr:  66.81, Acc-val:  65.00, L-tr: 1.0242, L-val: 1.1098
INFO:root:009: Acc-tr:  72.76, Acc-val:  70.55, L-tr: 0.8007, L-val: 0.8868
INFO:root:010: Acc-tr:  72.43, Acc-val:  70.03, L-tr: 0.8292, L-val: 0.9311
INFO:root:011: Acc-tr:  74.38, Acc-val:  71.83, L-tr: 0.7805, L-val: 0.8826
INFO:root:012: Acc-tr:  68.67, Acc-val:  66.51, L-tr: 1.0056, L-val: 1.1128
INFO:root:013: Acc-tr:  78.64, Acc-val:  75.53, L-tr: 0.6169, L-val: 0.7218
INFO:root:014: Acc-tr:  74.41, Acc-val:  71.72, L-tr: 0.7484, L-val: 0.8601
INFO:root:015: Acc-tr:  71.84, Acc-val:  68.96, L-tr: 0.8777, L-val: 1.0025
INFO:root:016: Acc-tr:  77.10, Acc-val:  74.04, L-tr: 0.6826, L-val: 0.8075
INFO:root:017: Acc-tr:  71.96, Acc-val:  68.96, L-tr: 0.8630, L-val: 0.9944
INFO:root:018: Acc-tr:  75.60, Acc-val:  72.54, L-tr: 0.7263, L-val: 0.8545
INFO:root:019: Acc-tr:  79.29, Acc-val:  75.21, L-tr: 0.6096, L-val: 0.7368
INFO:root:020: Acc-tr:  82.94, Acc-val:  78.56, L-tr: 0.5002, L-val: 0.6412
INFO:root:021: Acc-tr:  83.16, Acc-val:  78.75, L-tr: 0.4921, L-val: 0.6457
INFO:root:022: Acc-tr:  83.30, Acc-val:  78.60, L-tr: 0.4925, L-val: 0.6501
INFO:root:023: Acc-tr:  83.02, Acc-val:  78.38, L-tr: 0.4984, L-val: 0.6610
INFO:root:024: Acc-tr:  83.52, Acc-val:  78.84, L-tr: 0.4816, L-val: 0.6462
INFO:root:025: Acc-tr:  81.71, Acc-val:  77.49, L-tr: 0.5368, L-val: 0.7081
INFO:root:026: Acc-tr:  83.14, Acc-val:  78.45, L-tr: 0.4912, L-val: 0.6619
INFO:root:027: Acc-tr:  84.01, Acc-val:  79.26, L-tr: 0.4674, L-val: 0.6445
INFO:root:028: Acc-tr:  83.39, Acc-val:  78.50, L-tr: 0.4886, L-val: 0.6715
INFO:root:029: Acc-tr:  84.36, Acc-val:  79.31, L-tr: 0.4601, L-val: 0.6444
INFO:root:030: Acc-tr:  83.86, Acc-val:  78.80, L-tr: 0.4732, L-val: 0.6614
INFO:root:031: Acc-tr:  82.63, Acc-val:  77.72, L-tr: 0.5091, L-val: 0.7004
INFO:root:032: Acc-tr:  83.91, Acc-val:  78.99, L-tr: 0.4679, L-val: 0.6584
INFO:root:033: Acc-tr:  83.69, Acc-val:  78.51, L-tr: 0.4769, L-val: 0.6706
INFO:root:034: Acc-tr:  85.60, Acc-val:  80.33, L-tr: 0.4219, L-val: 0.6155
INFO:root:035: Acc-tr:  83.74, Acc-val:  78.58, L-tr: 0.4804, L-val: 0.6809
INFO:root:036: Acc-tr:  84.47, Acc-val:  79.16, L-tr: 0.4537, L-val: 0.6564
INFO:root:037: Acc-tr:  84.81, Acc-val:  79.35, L-tr: 0.4466, L-val: 0.6565
INFO:root:038: Acc-tr:  83.89, Acc-val:  78.76, L-tr: 0.4741, L-val: 0.6877
INFO:root:039: Acc-tr:  85.55, Acc-val:  79.90, L-tr: 0.4262, L-val: 0.6373
INFO:root:040: Acc-tr:  85.69, Acc-val:  79.95, L-tr: 0.4206, L-val: 0.6316
INFO:root:041: Acc-tr:  85.75, Acc-val:  80.10, L-tr: 0.4149, L-val: 0.6284
INFO:root:042: Acc-tr:  85.70, Acc-val:  79.99, L-tr: 0.4200, L-val: 0.6347
INFO:root:043: Acc-tr:  85.95, Acc-val:  80.27, L-tr: 0.4112, L-val: 0.6249
INFO:root:044: Acc-tr:  85.71, Acc-val:  79.98, L-tr: 0.4177, L-val: 0.6321
INFO:root:045: Acc-tr:  85.50, Acc-val:  79.71, L-tr: 0.4249, L-val: 0.6400
INFO:root:046: Acc-tr:  85.25, Acc-val:  79.67, L-tr: 0.4296, L-val: 0.6431
INFO:root:047: Acc-tr:  85.85, Acc-val:  80.02, L-tr: 0.4118, L-val: 0.6264
INFO:root:048: Acc-tr:  85.92, Acc-val:  80.09, L-tr: 0.4116, L-val: 0.6292
INFO:root:049: Acc-tr:  85.42, Acc-val:  79.76, L-tr: 0.4233, L-val: 0.6399
