INFO:root:Number of parameters: 175066
INFO:root:000: Acc-tr:  53.42, Acc-val:  52.50, L-tr: 1.4153, L-val: 1.4524
INFO:root:001: Acc-tr:  64.55, Acc-val:  63.71, L-tr: 1.0015, L-val: 1.0534
INFO:root:002: Acc-tr:  72.45, Acc-val:  70.66, L-tr: 0.7828, L-val: 0.8636
INFO:root:003: Acc-tr:  78.53, Acc-val:  75.84, L-tr: 0.6102, L-val: 0.7049
INFO:root:004: Acc-tr:  72.38, Acc-val:  69.71, L-tr: 0.7964, L-val: 0.9021
INFO:root:005: Acc-tr:  79.76, Acc-val:  75.79, L-tr: 0.5743, L-val: 0.6990
INFO:root:006: Acc-tr:  82.75, Acc-val:  78.14, L-tr: 0.4993, L-val: 0.6504
INFO:root:007: Acc-tr:  81.49, Acc-val:  77.59, L-tr: 0.5326, L-val: 0.6961
INFO:root:008: Acc-tr:  82.40, Acc-val:  77.75, L-tr: 0.4995, L-val: 0.6831
INFO:root:009: Acc-tr:  84.27, Acc-val:  79.01, L-tr: 0.4544, L-val: 0.6718
INFO:root:010: Acc-tr:  84.35, Acc-val:  78.50, L-tr: 0.4504, L-val: 0.6758
INFO:root:011: Acc-tr:  85.41, Acc-val:  79.29, L-tr: 0.4077, L-val: 0.6322
INFO:root:012: Acc-tr:  86.77, Acc-val:  80.03, L-tr: 0.3720, L-val: 0.6089
INFO:root:013: Acc-tr:  88.50, Acc-val:  81.23, L-tr: 0.3268, L-val: 0.6011
INFO:root:014: Acc-tr:  85.60, Acc-val:  79.00, L-tr: 0.4123, L-val: 0.7008
INFO:root:015: Acc-tr:  87.48, Acc-val:  79.96, L-tr: 0.3643, L-val: 0.6603
INFO:root:016: Acc-tr:  88.58, Acc-val:  80.15, L-tr: 0.3338, L-val: 0.6312
INFO:root:017: Acc-tr:  84.55, Acc-val:  77.05, L-tr: 0.4585, L-val: 0.7988
INFO:root:018: Acc-tr:  85.02, Acc-val:  77.05, L-tr: 0.4575, L-val: 0.7946
INFO:root:019: Acc-tr:  91.46, Acc-val:  82.41, L-tr: 0.2427, L-val: 0.5407
INFO:root:020: Acc-tr:  96.58, Acc-val:  85.38, L-tr: 0.1117, L-val: 0.4582
INFO:root:021: Acc-tr:  97.25, Acc-val:  85.18, L-tr: 0.0936, L-val: 0.4689
INFO:root:022: Acc-tr:  97.64, Acc-val:  84.94, L-tr: 0.0809, L-val: 0.4784
INFO:root:023: Acc-tr:  98.07, Acc-val:  85.20, L-tr: 0.0691, L-val: 0.4873
INFO:root:024: Acc-tr:  98.28, Acc-val:  84.99, L-tr: 0.0634, L-val: 0.5002
INFO:root:025: Acc-tr:  98.46, Acc-val:  85.18, L-tr: 0.0574, L-val: 0.5076
INFO:root:026: Acc-tr:  98.50, Acc-val:  85.05, L-tr: 0.0547, L-val: 0.5163
INFO:root:027: Acc-tr:  98.78, Acc-val:  84.82, L-tr: 0.0490, L-val: 0.5237
