INFO:root:Number of parameters: 272282
INFO:root:000: Acc-tr:  59.21, Acc-val:  57.96, L-tr: 1.1953, L-val: 1.2271
INFO:root:001: Acc-tr:  63.83, Acc-val:  62.29, L-tr: 1.0435, L-val: 1.1071
INFO:root:002: Acc-tr:  72.52, Acc-val:  69.48, L-tr: 0.7807, L-val: 0.8844
INFO:root:003: Acc-tr:  75.91, Acc-val:  72.07, L-tr: 0.6776, L-val: 0.7969
INFO:root:004: Acc-tr:  77.47, Acc-val:  73.26, L-tr: 0.6524, L-val: 0.8175
INFO:root:005: Acc-tr:  82.50, Acc-val:  77.15, L-tr: 0.4970, L-val: 0.6874
INFO:root:006: Acc-tr:  84.08, Acc-val:  77.74, L-tr: 0.4568, L-val: 0.6628
INFO:root:007: Acc-tr:  88.26, Acc-val:  80.39, L-tr: 0.3436, L-val: 0.5967
INFO:root:008: Acc-tr:  89.14, Acc-val:  80.35, L-tr: 0.3076, L-val: 0.5891
INFO:root:009: Acc-tr:  83.08, Acc-val:  75.48, L-tr: 0.4997, L-val: 0.8017
INFO:root:010: Acc-tr:  89.04, Acc-val:  80.13, L-tr: 0.3137, L-val: 0.6491
INFO:root:011: Acc-tr:  89.89, Acc-val:  79.71, L-tr: 0.2899, L-val: 0.6492
INFO:root:012: Acc-tr:  89.58, Acc-val:  79.52, L-tr: 0.2950, L-val: 0.6593
INFO:root:013: Acc-tr:  89.50, Acc-val:  79.03, L-tr: 0.2991, L-val: 0.7068
INFO:root:014: Acc-tr:  90.22, Acc-val:  79.59, L-tr: 0.2667, L-val: 0.7074
INFO:root:015: Acc-tr:  91.27, Acc-val:  79.71, L-tr: 0.2400, L-val: 0.6499
INFO:root:016: Acc-tr:  93.89, Acc-val:  81.12, L-tr: 0.1751, L-val: 0.6347
INFO:root:017: Acc-tr:  91.02, Acc-val:  79.19, L-tr: 0.2533, L-val: 0.7401
INFO:root:018: Acc-tr:  89.36, Acc-val:  78.42, L-tr: 0.2916, L-val: 0.7521
INFO:root:019: Acc-tr:  87.87, Acc-val:  76.27, L-tr: 0.3558, L-val: 0.9240
INFO:root:020: Acc-tr:  93.62, Acc-val:  80.30, L-tr: 0.1820, L-val: 0.7257
INFO:root:021: Acc-tr:  90.58, Acc-val:  78.84, L-tr: 0.2567, L-val: 0.7938
INFO:root:022: Acc-tr:  91.93, Acc-val:  78.95, L-tr: 0.2280, L-val: 0.7794
INFO:root:023: Acc-tr:  94.58, Acc-val:  81.15, L-tr: 0.1545, L-val: 0.7065
INFO:root:024: Acc-tr:  93.96, Acc-val:  79.92, L-tr: 0.1745, L-val: 0.7425
INFO:root:025: Acc-tr:  90.43, Acc-val:  77.92, L-tr: 0.2650, L-val: 0.8486
INFO:root:026: Acc-tr:  87.91, Acc-val:  76.44, L-tr: 0.3562, L-val: 1.0193
INFO:root:027: Acc-tr:  91.63, Acc-val:  78.69, L-tr: 0.2432, L-val: 0.8766
INFO:root:028: Acc-tr:  95.59, Acc-val:  81.52, L-tr: 0.1235, L-val: 0.7385
INFO:root:029: Acc-tr:  94.83, Acc-val:  81.04, L-tr: 0.1422, L-val: 0.7259
INFO:root:030: Acc-tr:  90.29, Acc-val:  77.25, L-tr: 0.2764, L-val: 0.9368
INFO:root:031: Acc-tr:  92.06, Acc-val:  78.44, L-tr: 0.2212, L-val: 0.8283
