INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  54.93, Acc-val:  53.23, L-tr: 1.2719, L-val: 1.3026
INFO:root:001: Acc-tr:  64.07, Acc-val:  62.36, L-tr: 1.0813, L-val: 1.1278
INFO:root:002: Acc-tr:  71.77, Acc-val:  70.14, L-tr: 0.8192, L-val: 0.8822
INFO:root:003: Acc-tr:  73.30, Acc-val:  71.67, L-tr: 0.8010, L-val: 0.8790
INFO:root:004: Acc-tr:  77.46, Acc-val:  74.16, L-tr: 0.6456, L-val: 0.7450
INFO:root:005: Acc-tr:  80.92, Acc-val:  77.32, L-tr: 0.5448, L-val: 0.6738
INFO:root:006: Acc-tr:  80.55, Acc-val:  76.80, L-tr: 0.5538, L-val: 0.7165
INFO:root:007: Acc-tr:  82.47, Acc-val:  77.14, L-tr: 0.5180, L-val: 0.6982
INFO:root:008: Acc-tr:  85.96, Acc-val:  80.20, L-tr: 0.4065, L-val: 0.5922
INFO:root:009: Acc-tr:  86.03, Acc-val:  80.77, L-tr: 0.4060, L-val: 0.5855
INFO:root:010: Acc-tr:  86.74, Acc-val:  80.75, L-tr: 0.3823, L-val: 0.5894
INFO:root:011: Acc-tr:  86.77, Acc-val:  81.00, L-tr: 0.3844, L-val: 0.5971
INFO:root:012: Acc-tr:  88.08, Acc-val:  81.76, L-tr: 0.3414, L-val: 0.5587
INFO:root:013: Acc-tr:  85.36, Acc-val:  80.16, L-tr: 0.4199, L-val: 0.6546
INFO:root:014: Acc-tr:  89.18, Acc-val:  82.27, L-tr: 0.3152, L-val: 0.5858
INFO:root:015: Acc-tr:  89.69, Acc-val:  82.73, L-tr: 0.2963, L-val: 0.5676
INFO:root:016: Acc-tr:  91.03, Acc-val:  83.34, L-tr: 0.2547, L-val: 0.5342
INFO:root:017: Acc-tr:  88.99, Acc-val:  81.27, L-tr: 0.3098, L-val: 0.6080
INFO:root:018: Acc-tr:  90.07, Acc-val:  81.98, L-tr: 0.2815, L-val: 0.5898
INFO:root:019: Acc-tr:  86.67, Acc-val:  79.31, L-tr: 0.3982, L-val: 0.7395
INFO:root:020: Acc-tr:  87.97, Acc-val:  80.45, L-tr: 0.3319, L-val: 0.6683
INFO:root:021: Acc-tr:  93.02, Acc-val:  83.40, L-tr: 0.1984, L-val: 0.5329
INFO:root:022: Acc-tr:  92.71, Acc-val:  83.36, L-tr: 0.2079, L-val: 0.5528
INFO:root:023: Acc-tr:  92.32, Acc-val:  83.22, L-tr: 0.2172, L-val: 0.5692
INFO:root:024: Acc-tr:  93.00, Acc-val:  83.98, L-tr: 0.1981, L-val: 0.5390
INFO:root:025: Acc-tr:  91.96, Acc-val:  82.90, L-tr: 0.2324, L-val: 0.6127
INFO:root:026: Acc-tr:  93.09, Acc-val:  84.20, L-tr: 0.1943, L-val: 0.5246
INFO:root:027: Acc-tr:  93.32, Acc-val:  83.42, L-tr: 0.1918, L-val: 0.5519
INFO:root:028: Acc-tr:  90.17, Acc-val:  81.23, L-tr: 0.2700, L-val: 0.6699
INFO:root:029: Acc-tr:  90.12, Acc-val:  81.59, L-tr: 0.2738, L-val: 0.6295
INFO:root:030: Acc-tr:  91.35, Acc-val:  82.34, L-tr: 0.2334, L-val: 0.6250
INFO:root:031: Acc-tr:  94.15, Acc-val:  83.96, L-tr: 0.1636, L-val: 0.5391
INFO:root:032: Acc-tr:  94.57, Acc-val:  84.16, L-tr: 0.1554, L-val: 0.5269
INFO:root:033: Acc-tr:  90.10, Acc-val:  80.70, L-tr: 0.2748, L-val: 0.6755
INFO:root:034: Acc-tr:  91.26, Acc-val:  82.22, L-tr: 0.2442, L-val: 0.6332
INFO:root:035: Acc-tr:  93.97, Acc-val:  83.82, L-tr: 0.1704, L-val: 0.5622
INFO:root:036: Acc-tr:  93.31, Acc-val:  83.54, L-tr: 0.1788, L-val: 0.5803
INFO:root:037: Acc-tr:  95.15, Acc-val:  84.49, L-tr: 0.1407, L-val: 0.5281
INFO:root:038: Acc-tr:  93.58, Acc-val:  83.14, L-tr: 0.1806, L-val: 0.5644
INFO:root:039: Acc-tr:  94.26, Acc-val:  83.88, L-tr: 0.1668, L-val: 0.5522
INFO:root:040: Acc-tr:  92.47, Acc-val:  82.72, L-tr: 0.2118, L-val: 0.6042
INFO:root:041: Acc-tr:  94.35, Acc-val:  83.64, L-tr: 0.1597, L-val: 0.5754
