INFO:root:Number of parameters: 77850
INFO:root:000: Acc-tr:  54.85, Acc-val:  54.28, L-tr: 1.2519, L-val: 1.2641
INFO:root:001: Acc-tr:  64.58, Acc-val:  63.56, L-tr: 0.9977, L-val: 1.0369
INFO:root:002: Acc-tr:  71.45, Acc-val:  69.09, L-tr: 0.8087, L-val: 0.8738
INFO:root:003: Acc-tr:  74.84, Acc-val:  72.41, L-tr: 0.7327, L-val: 0.8037
INFO:root:004: Acc-tr:  72.81, Acc-val:  70.11, L-tr: 0.7739, L-val: 0.8537
INFO:root:005: Acc-tr:  78.73, Acc-val:  75.25, L-tr: 0.6203, L-val: 0.7355
INFO:root:006: Acc-tr:  74.18, Acc-val:  71.08, L-tr: 0.7502, L-val: 0.8697
INFO:root:007: Acc-tr:  79.76, Acc-val:  75.53, L-tr: 0.5718, L-val: 0.7307
INFO:root:008: Acc-tr:  82.93, Acc-val:  77.01, L-tr: 0.4943, L-val: 0.6732
INFO:root:009: Acc-tr:  84.21, Acc-val:  77.67, L-tr: 0.4600, L-val: 0.6436
INFO:root:010: Acc-tr:  82.23, Acc-val:  75.46, L-tr: 0.4934, L-val: 0.7215
INFO:root:011: Acc-tr:  81.54, Acc-val:  75.24, L-tr: 0.5465, L-val: 0.7859
INFO:root:012: Acc-tr:  83.02, Acc-val:  75.40, L-tr: 0.4937, L-val: 0.7541
INFO:root:013: Acc-tr:  87.80, Acc-val:  79.17, L-tr: 0.3568, L-val: 0.6183
INFO:root:014: Acc-tr:  86.99, Acc-val:  78.01, L-tr: 0.3707, L-val: 0.6659
INFO:root:015: Acc-tr:  80.02, Acc-val:  72.75, L-tr: 0.5542, L-val: 0.8634
INFO:root:016: Acc-tr:  87.61, Acc-val:  78.50, L-tr: 0.3553, L-val: 0.6625
INFO:root:017: Acc-tr:  84.34, Acc-val:  75.93, L-tr: 0.4283, L-val: 0.7335
INFO:root:018: Acc-tr:  84.86, Acc-val:  76.03, L-tr: 0.4318, L-val: 0.7839
INFO:root:019: Acc-tr:  82.79, Acc-val:  73.81, L-tr: 0.4806, L-val: 0.8535
INFO:root:020: Acc-tr:  95.89, Acc-val:  81.56, L-tr: 0.1564, L-val: 0.5471
INFO:root:021: Acc-tr:  95.60, Acc-val:  80.58, L-tr: 0.1659, L-val: 0.6159
INFO:root:022: Acc-tr:  96.09, Acc-val:  80.14, L-tr: 0.1555, L-val: 0.6227
INFO:root:023: Acc-tr:  96.18, Acc-val:  80.16, L-tr: 0.1486, L-val: 0.6363
INFO:root:024: Acc-tr:  96.61, Acc-val:  80.18, L-tr: 0.1386, L-val: 0.6389
INFO:root:025: Acc-tr:  96.77, Acc-val:  80.09, L-tr: 0.1347, L-val: 0.6530
INFO:root:026: Acc-tr:  96.41, Acc-val:  79.81, L-tr: 0.1363, L-val: 0.6760
INFO:root:027: Acc-tr:  97.01, Acc-val:  79.73, L-tr: 0.1258, L-val: 0.6699
INFO:root:028: Acc-tr:  97.46, Acc-val:  79.87, L-tr: 0.1168, L-val: 0.6785
INFO:root:029: Acc-tr:  97.49, Acc-val:  79.97, L-tr: 0.1129, L-val: 0.6850
INFO:root:030: Acc-tr:  97.48, Acc-val:  79.49, L-tr: 0.1134, L-val: 0.7037
INFO:root:031: Acc-tr:  98.61, Acc-val:  81.29, L-tr: 0.0785, L-val: 0.6354
INFO:root:032: Acc-tr:  98.85, Acc-val:  81.18, L-tr: 0.0727, L-val: 0.6368
INFO:root:033: Acc-tr:  98.89, Acc-val:  81.18, L-tr: 0.0706, L-val: 0.6446
INFO:root:034: Acc-tr:  99.07, Acc-val:  81.16, L-tr: 0.0656, L-val: 0.6517
INFO:root:035: Acc-tr:  99.15, Acc-val:  80.74, L-tr: 0.0624, L-val: 0.6640
INFO:root:036: Acc-tr:  99.22, Acc-val:  80.87, L-tr: 0.0605, L-val: 0.6653
INFO:root:037: Acc-tr:  99.19, Acc-val:  80.92, L-tr: 0.0597, L-val: 0.6784
INFO:root:038: Acc-tr:  99.42, Acc-val:  80.97, L-tr: 0.0539, L-val: 0.6789
INFO:root:039: Acc-tr:  99.48, Acc-val:  80.88, L-tr: 0.0537, L-val: 0.6880
INFO:root:040: Acc-tr:  99.58, Acc-val:  81.05, L-tr: 0.0485, L-val: 0.6842
INFO:root:041: Acc-tr:  99.61, Acc-val:  81.08, L-tr: 0.0470, L-val: 0.6904
INFO:root:042: Acc-tr:  99.60, Acc-val:  80.90, L-tr: 0.0468, L-val: 0.6861
INFO:root:043: Acc-tr:  99.63, Acc-val:  81.11, L-tr: 0.0466, L-val: 0.6861
INFO:root:044: Acc-tr:  99.63, Acc-val:  80.79, L-tr: 0.0463, L-val: 0.6924
INFO:root:045: Acc-tr:  99.62, Acc-val:  80.85, L-tr: 0.0458, L-val: 0.6910
INFO:root:046: Acc-tr:  99.64, Acc-val:  80.76, L-tr: 0.0452, L-val: 0.6936
INFO:root:047: Acc-tr:  99.65, Acc-val:  80.85, L-tr: 0.0461, L-val: 0.6877
INFO:root:048: Acc-tr:  99.64, Acc-val:  80.87, L-tr: 0.0449, L-val: 0.6914
INFO:root:049: Acc-tr:  99.64, Acc-val:  80.85, L-tr: 0.0446, L-val: 0.6923
INFO:root:050: Acc-tr:  99.64, Acc-val:  81.01, L-tr: 0.0443, L-val: 0.6941
INFO:root:051: Acc-tr:  99.65, Acc-val:  80.76, L-tr: 0.0448, L-val: 0.6936
INFO:root:052: Acc-tr:  99.69, Acc-val:  80.96, L-tr: 0.0444, L-val: 0.6951
INFO:root:053: Acc-tr:  99.68, Acc-val:  80.78, L-tr: 0.0435, L-val: 0.6983
INFO:root:054: Acc-tr:  99.66, Acc-val:  80.85, L-tr: 0.0440, L-val: 0.6985
INFO:root:055: Acc-tr:  99.68, Acc-val:  80.76, L-tr: 0.0428, L-val: 0.7035
INFO:root:056: Acc-tr:  99.69, Acc-val:  80.72, L-tr: 0.0429, L-val: 0.7031
INFO:root:057: Acc-tr:  99.68, Acc-val:  80.82, L-tr: 0.0428, L-val: 0.7051
INFO:root:058: Acc-tr:  99.70, Acc-val:  81.00, L-tr: 0.0425, L-val: 0.6997
INFO:root:059: Acc-tr:  99.69, Acc-val:  80.81, L-tr: 0.0427, L-val: 0.6982
INFO:root:060: Acc-tr:  99.72, Acc-val:  80.76, L-tr: 0.0422, L-val: 0.7026
INFO:root:061: Acc-tr:  99.66, Acc-val:  80.94, L-tr: 0.0437, L-val: 0.6978
INFO:root:062: Acc-tr:  99.69, Acc-val:  80.73, L-tr: 0.0419, L-val: 0.7041
INFO:root:063: Acc-tr:  99.24, Acc-val:  78.80, L-tr: 0.0656, L-val: 0.7928
INFO:root:064: Acc-tr:  99.18, Acc-val:  78.77, L-tr: 0.0656, L-val: 0.7946
INFO:root:065: Acc-tr:  99.25, Acc-val:  78.88, L-tr: 0.0657, L-val: 0.7918
INFO:root:066: Acc-tr:  99.23, Acc-val:  78.83, L-tr: 0.0658, L-val: 0.7913
INFO:root:067: Acc-tr:  99.24, Acc-val:  78.72, L-tr: 0.0650, L-val: 0.7939
INFO:root:068: Acc-tr:  99.26, Acc-val:  78.74, L-tr: 0.0650, L-val: 0.7941
INFO:root:069: Acc-tr:  99.24, Acc-val:  78.75, L-tr: 0.0652, L-val: 0.7954
INFO:root:070: Acc-tr:  99.22, Acc-val:  78.85, L-tr: 0.0652, L-val: 0.7943
INFO:root:071: Acc-tr:  99.20, Acc-val:  78.92, L-tr: 0.0660, L-val: 0.7912
INFO:root:072: Acc-tr:  99.23, Acc-val:  78.89, L-tr: 0.0650, L-val: 0.7950
INFO:root:073: Acc-tr:  99.23, Acc-val:  78.78, L-tr: 0.0651, L-val: 0.7942
INFO:root:074: Acc-tr:  99.24, Acc-val:  78.80, L-tr: 0.0653, L-val: 0.7936
INFO:root:075: Acc-tr:  99.24, Acc-val:  78.76, L-tr: 0.0654, L-val: 0.7923
INFO:root:076: Acc-tr:  99.23, Acc-val:  78.82, L-tr: 0.0655, L-val: 0.7918
INFO:root:077: Acc-tr:  99.23, Acc-val:  78.80, L-tr: 0.0656, L-val: 0.7962
INFO:root:078: Acc-tr:  99.23, Acc-val:  78.81, L-tr: 0.0654, L-val: 0.7919
INFO:root:079: Acc-tr:  99.25, Acc-val:  78.81, L-tr: 0.0652, L-val: 0.7919
INFO:root:080: Acc-tr:  99.70, Acc-val:  80.87, L-tr: 0.0424, L-val: 0.7025
INFO:root:081: Acc-tr:  99.70, Acc-val:  80.95, L-tr: 0.0422, L-val: 0.6997
INFO:root:082: Acc-tr:  99.70, Acc-val:  80.95, L-tr: 0.0421, L-val: 0.7010
INFO:root:083: Acc-tr:  99.70, Acc-val:  80.78, L-tr: 0.0421, L-val: 0.7012
INFO:root:084: Acc-tr:  99.71, Acc-val:  80.69, L-tr: 0.0420, L-val: 0.7063
INFO:root:085: Acc-tr:  99.70, Acc-val:  80.68, L-tr: 0.0419, L-val: 0.7048
INFO:root:086: Acc-tr:  99.71, Acc-val:  80.96, L-tr: 0.0425, L-val: 0.7024
INFO:root:087: Acc-tr:  99.70, Acc-val:  80.91, L-tr: 0.0423, L-val: 0.6992
INFO:root:088: Acc-tr:  99.71, Acc-val:  80.76, L-tr: 0.0418, L-val: 0.7061
INFO:root:089: Acc-tr:  99.70, Acc-val:  80.89, L-tr: 0.0427, L-val: 0.7021
INFO:root:090: Acc-tr:  99.72, Acc-val:  80.87, L-tr: 0.0419, L-val: 0.7020
INFO:root:091: Acc-tr:  99.70, Acc-val:  80.81, L-tr: 0.0417, L-val: 0.7040
INFO:root:092: Acc-tr:  99.70, Acc-val:  80.91, L-tr: 0.0420, L-val: 0.7048
INFO:root:093: Acc-tr:  99.69, Acc-val:  80.84, L-tr: 0.0427, L-val: 0.7025
INFO:root:094: Acc-tr:  99.70, Acc-val:  80.81, L-tr: 0.0413, L-val: 0.7054
INFO:root:095: Acc-tr:  99.71, Acc-val:  80.75, L-tr: 0.0418, L-val: 0.7056
INFO:root:096: Acc-tr:  99.70, Acc-val:  80.84, L-tr: 0.0422, L-val: 0.7056
INFO:root:097: Acc-tr:  99.69, Acc-val:  80.87, L-tr: 0.0423, L-val: 0.7031
INFO:root:098: Acc-tr:  99.70, Acc-val:  80.83, L-tr: 0.0421, L-val: 0.7004
INFO:root:099: Acc-tr:  99.70, Acc-val:  80.82, L-tr: 0.0419, L-val: 0.7052
