INFO:root:Number of parameters: 272282
INFO:root:000: Acc-tr:  52.19, Acc-val:  51.62, L-tr: 1.3415, L-val: 1.3572
INFO:root:001: Acc-tr:  63.07, Acc-val:  62.23, L-tr: 1.0275, L-val: 1.0706
INFO:root:002: Acc-tr:  63.26, Acc-val:  62.02, L-tr: 1.1130, L-val: 1.1798
INFO:root:003: Acc-tr:  71.93, Acc-val:  70.04, L-tr: 0.8257, L-val: 0.8910
INFO:root:004: Acc-tr:  75.07, Acc-val:  72.26, L-tr: 0.7129, L-val: 0.8187
INFO:root:005: Acc-tr:  79.80, Acc-val:  76.87, L-tr: 0.5857, L-val: 0.6939
INFO:root:006: Acc-tr:  80.96, Acc-val:  77.54, L-tr: 0.5495, L-val: 0.6720
INFO:root:007: Acc-tr:  83.26, Acc-val:  79.17, L-tr: 0.4816, L-val: 0.6273
INFO:root:008: Acc-tr:  82.50, Acc-val:  78.20, L-tr: 0.5075, L-val: 0.6816
INFO:root:009: Acc-tr:  83.87, Acc-val:  79.23, L-tr: 0.4725, L-val: 0.6613
INFO:root:010: Acc-tr:  80.61, Acc-val:  75.27, L-tr: 0.5685, L-val: 0.7762
INFO:root:011: Acc-tr:  85.54, Acc-val:  80.05, L-tr: 0.4194, L-val: 0.6215
INFO:root:012: Acc-tr:  84.71, Acc-val:  79.12, L-tr: 0.4419, L-val: 0.6688
INFO:root:013: Acc-tr:  87.00, Acc-val:  80.41, L-tr: 0.3745, L-val: 0.6171
INFO:root:014: Acc-tr:  87.38, Acc-val:  80.70, L-tr: 0.3604, L-val: 0.6261
INFO:root:015: Acc-tr:  85.58, Acc-val:  79.45, L-tr: 0.4322, L-val: 0.6932
INFO:root:016: Acc-tr:  85.11, Acc-val:  78.40, L-tr: 0.4332, L-val: 0.7285
INFO:root:017: Acc-tr:  88.31, Acc-val:  80.99, L-tr: 0.3236, L-val: 0.6132
INFO:root:018: Acc-tr:  87.66, Acc-val:  80.09, L-tr: 0.3436, L-val: 0.6331
INFO:root:019: Acc-tr:  89.30, Acc-val:  81.44, L-tr: 0.3066, L-val: 0.6390
INFO:root:020: Acc-tr:  88.61, Acc-val:  80.48, L-tr: 0.3191, L-val: 0.6255
INFO:root:021: Acc-tr:  89.86, Acc-val:  82.07, L-tr: 0.2863, L-val: 0.6285
INFO:root:022: Acc-tr:  89.33, Acc-val:  81.20, L-tr: 0.2984, L-val: 0.6537
INFO:root:023: Acc-tr:  90.01, Acc-val:  82.04, L-tr: 0.2722, L-val: 0.6010
INFO:root:024: Acc-tr:  91.35, Acc-val:  82.03, L-tr: 0.2430, L-val: 0.6194
INFO:root:025: Acc-tr:  90.63, Acc-val:  82.01, L-tr: 0.2618, L-val: 0.6119
INFO:root:026: Acc-tr:  92.54, Acc-val:  83.26, L-tr: 0.2030, L-val: 0.5626
INFO:root:027: Acc-tr:  92.91, Acc-val:  83.22, L-tr: 0.1976, L-val: 0.5908
INFO:root:028: Acc-tr:  93.64, Acc-val:  83.36, L-tr: 0.1772, L-val: 0.5377
INFO:root:029: Acc-tr:  91.26, Acc-val:  81.70, L-tr: 0.2472, L-val: 0.6302
INFO:root:030: Acc-tr:  91.90, Acc-val:  82.90, L-tr: 0.2291, L-val: 0.6171
INFO:root:031: Acc-tr:  93.77, Acc-val:  83.58, L-tr: 0.1755, L-val: 0.5625
INFO:root:032: Acc-tr:  92.68, Acc-val:  82.69, L-tr: 0.2043, L-val: 0.6100
INFO:root:033: Acc-tr:  94.88, Acc-val:  84.36, L-tr: 0.1435, L-val: 0.5532
INFO:root:034: Acc-tr:  92.59, Acc-val:  81.98, L-tr: 0.2091, L-val: 0.6681
INFO:root:035: Acc-tr:  94.62, Acc-val:  84.03, L-tr: 0.1490, L-val: 0.5492
INFO:root:036: Acc-tr:  92.64, Acc-val:  81.94, L-tr: 0.2136, L-val: 0.6589
INFO:root:037: Acc-tr:  95.19, Acc-val:  84.87, L-tr: 0.1377, L-val: 0.5286
INFO:root:038: Acc-tr:  92.09, Acc-val:  81.79, L-tr: 0.2262, L-val: 0.6713
INFO:root:039: Acc-tr:  91.66, Acc-val:  82.31, L-tr: 0.2427, L-val: 0.6753
INFO:root:040: Acc-tr:  93.12, Acc-val:  83.04, L-tr: 0.1860, L-val: 0.6277
INFO:root:041: Acc-tr:  89.73, Acc-val:  79.22, L-tr: 0.2985, L-val: 0.8176
INFO:root:042: Acc-tr:  94.24, Acc-val:  83.40, L-tr: 0.1557, L-val: 0.5983
INFO:root:043: Acc-tr:  93.34, Acc-val:  82.82, L-tr: 0.1889, L-val: 0.6961
INFO:root:044: Acc-tr:  93.47, Acc-val:  82.80, L-tr: 0.1820, L-val: 0.6289
INFO:root:045: Acc-tr:  92.18, Acc-val:  81.30, L-tr: 0.2275, L-val: 0.7268
INFO:root:046: Acc-tr:  94.74, Acc-val:  82.64, L-tr: 0.1471, L-val: 0.6444
INFO:root:047: Acc-tr:  94.30, Acc-val:  83.13, L-tr: 0.1604, L-val: 0.6635
INFO:root:048: Acc-tr:  94.05, Acc-val:  82.98, L-tr: 0.1638, L-val: 0.6351
INFO:root:049: Acc-tr:  94.49, Acc-val:  82.87, L-tr: 0.1502, L-val: 0.6587
INFO:root:050: Acc-tr:  95.55, Acc-val:  84.09, L-tr: 0.1236, L-val: 0.5889
INFO:root:051: Acc-tr:  95.81, Acc-val:  83.80, L-tr: 0.1154, L-val: 0.6130
INFO:root:052: Acc-tr:  96.26, Acc-val:  83.88, L-tr: 0.1083, L-val: 0.5770
INFO:root:053: Acc-tr:  96.44, Acc-val:  84.02, L-tr: 0.1012, L-val: 0.5877
INFO:root:054: Acc-tr:  95.84, Acc-val:  84.24, L-tr: 0.1129, L-val: 0.5900
INFO:root:055: Acc-tr:  93.74, Acc-val:  82.69, L-tr: 0.1779, L-val: 0.7066
INFO:root:056: Acc-tr:  95.96, Acc-val:  83.64, L-tr: 0.1149, L-val: 0.6316
INFO:root:057: Acc-tr:  94.97, Acc-val:  82.73, L-tr: 0.1417, L-val: 0.6601
INFO:root:058: Acc-tr:  94.49, Acc-val:  82.83, L-tr: 0.1504, L-val: 0.6770
INFO:root:059: Acc-tr:  94.62, Acc-val:  83.58, L-tr: 0.1512, L-val: 0.6537
INFO:root:060: Acc-tr:  96.49, Acc-val:  84.17, L-tr: 0.0992, L-val: 0.5865
INFO:root:061: Acc-tr:  95.00, Acc-val:  84.14, L-tr: 0.1384, L-val: 0.6290
INFO:root:062: Acc-tr:  96.87, Acc-val:  84.67, L-tr: 0.0898, L-val: 0.5483
INFO:root:063: Acc-tr:  96.09, Acc-val:  83.68, L-tr: 0.1084, L-val: 0.6400
INFO:root:064: Acc-tr:  93.15, Acc-val:  82.57, L-tr: 0.1910, L-val: 0.7511
INFO:root:065: Acc-tr:  93.87, Acc-val:  82.52, L-tr: 0.1733, L-val: 0.7479
INFO:root:066: Acc-tr:  95.47, Acc-val:  83.67, L-tr: 0.1241, L-val: 0.6389
INFO:root:067: Acc-tr:  96.64, Acc-val:  84.12, L-tr: 0.0953, L-val: 0.5947
INFO:root:068: Acc-tr:  96.36, Acc-val:  83.47, L-tr: 0.1046, L-val: 0.6407
INFO:root:069: Acc-tr:  96.11, Acc-val:  83.72, L-tr: 0.1116, L-val: 0.6276
INFO:root:070: Acc-tr:  95.83, Acc-val:  83.23, L-tr: 0.1174, L-val: 0.6749
INFO:root:071: Acc-tr:  97.69, Acc-val:  85.21, L-tr: 0.0689, L-val: 0.5487
INFO:root:072: Acc-tr:  95.50, Acc-val:  83.33, L-tr: 0.1269, L-val: 0.6495
INFO:root:073: Acc-tr:  95.40, Acc-val:  84.17, L-tr: 0.1290, L-val: 0.6563
INFO:root:074: Acc-tr:  96.48, Acc-val:  84.13, L-tr: 0.0981, L-val: 0.6241
INFO:root:075: Acc-tr:  95.86, Acc-val:  83.60, L-tr: 0.1184, L-val: 0.6723
INFO:root:076: Acc-tr:  95.32, Acc-val:  83.07, L-tr: 0.1315, L-val: 0.6937
INFO:root:077: Acc-tr:  97.43, Acc-val:  84.52, L-tr: 0.0753, L-val: 0.5886
INFO:root:078: Acc-tr:  96.04, Acc-val:  83.75, L-tr: 0.1084, L-val: 0.6528
INFO:root:079: Acc-tr:  95.27, Acc-val:  82.89, L-tr: 0.1299, L-val: 0.6968
INFO:root:080: Acc-tr:  96.03, Acc-val:  83.24, L-tr: 0.1066, L-val: 0.6797
INFO:root:081: Acc-tr:  97.68, Acc-val:  85.05, L-tr: 0.0682, L-val: 0.5765
INFO:root:082: Acc-tr:  97.62, Acc-val:  85.02, L-tr: 0.0705, L-val: 0.5608
INFO:root:083: Acc-tr:  96.01, Acc-val:  83.12, L-tr: 0.1107, L-val: 0.6555
INFO:root:084: Acc-tr:  96.81, Acc-val:  84.48, L-tr: 0.0904, L-val: 0.6323
INFO:root:085: Acc-tr:  95.30, Acc-val:  82.86, L-tr: 0.1312, L-val: 0.7109
INFO:root:086: Acc-tr:  97.11, Acc-val:  84.22, L-tr: 0.0831, L-val: 0.6147
INFO:root:087: Acc-tr:  97.54, Acc-val:  84.71, L-tr: 0.0742, L-val: 0.5691
INFO:root:088: Acc-tr:  96.59, Acc-val:  84.48, L-tr: 0.0950, L-val: 0.6115
INFO:root:089: Acc-tr:  96.62, Acc-val:  84.23, L-tr: 0.0923, L-val: 0.6165
INFO:root:090: Acc-tr:  97.25, Acc-val:  84.21, L-tr: 0.0803, L-val: 0.6089
INFO:root:091: Acc-tr:  93.89, Acc-val:  81.91, L-tr: 0.1813, L-val: 0.7899
INFO:root:092: Acc-tr:  97.62, Acc-val:  84.74, L-tr: 0.0660, L-val: 0.5929
INFO:root:093: Acc-tr:  96.27, Acc-val:  83.76, L-tr: 0.1032, L-val: 0.6634
INFO:root:094: Acc-tr:  95.10, Acc-val:  82.72, L-tr: 0.1364, L-val: 0.7305
INFO:root:095: Acc-tr:  94.80, Acc-val:  82.52, L-tr: 0.1449, L-val: 0.7364
INFO:root:096: Acc-tr:  94.20, Acc-val:  81.33, L-tr: 0.1593, L-val: 0.7748
INFO:root:097: Acc-tr:  97.38, Acc-val:  84.62, L-tr: 0.0720, L-val: 0.6361
INFO:root:098: Acc-tr:  97.58, Acc-val:  84.41, L-tr: 0.0701, L-val: 0.5902
INFO:root:099: Acc-tr:  95.64, Acc-val:  83.70, L-tr: 0.1210, L-val: 0.7035
INFO:root:100: Acc-tr:  95.98, Acc-val:  83.72, L-tr: 0.1108, L-val: 0.6743
INFO:root:101: Acc-tr:  97.95, Acc-val:  84.95, L-tr: 0.0583, L-val: 0.5871
INFO:root:102: Acc-tr:  95.81, Acc-val:  83.18, L-tr: 0.1138, L-val: 0.7202
INFO:root:103: Acc-tr:  95.43, Acc-val:  83.31, L-tr: 0.1275, L-val: 0.6906
INFO:root:104: Acc-tr:  96.69, Acc-val:  84.05, L-tr: 0.0930, L-val: 0.6505
INFO:root:105: Acc-tr:  96.82, Acc-val:  83.97, L-tr: 0.0899, L-val: 0.6744
INFO:root:106: Acc-tr:  96.53, Acc-val:  83.51, L-tr: 0.0958, L-val: 0.6579
INFO:root:107: Acc-tr:  97.34, Acc-val:  84.91, L-tr: 0.0770, L-val: 0.5962
INFO:root:108: Acc-tr:  95.20, Acc-val:  83.04, L-tr: 0.1338, L-val: 0.6746
INFO:root:109: Acc-tr:  96.61, Acc-val:  83.34, L-tr: 0.0967, L-val: 0.6297
INFO:root:110: Acc-tr:  94.91, Acc-val:  83.25, L-tr: 0.1437, L-val: 0.6828
INFO:root:111: Acc-tr:  97.40, Acc-val:  84.37, L-tr: 0.0751, L-val: 0.6390
INFO:root:112: Acc-tr:  95.27, Acc-val:  82.58, L-tr: 0.1307, L-val: 0.7174
INFO:root:113: Acc-tr:  96.66, Acc-val:  84.10, L-tr: 0.0912, L-val: 0.6220
INFO:root:114: Acc-tr:  97.42, Acc-val:  84.52, L-tr: 0.0736, L-val: 0.6229
INFO:root:115: Acc-tr:  97.14, Acc-val:  84.49, L-tr: 0.0800, L-val: 0.6214
INFO:root:116: Acc-tr:  97.09, Acc-val:  84.08, L-tr: 0.0833, L-val: 0.6047
INFO:root:117: Acc-tr:  95.41, Acc-val:  83.38, L-tr: 0.1316, L-val: 0.7050
INFO:root:118: Acc-tr:  97.07, Acc-val:  84.29, L-tr: 0.0818, L-val: 0.6445
INFO:root:119: Acc-tr:  97.18, Acc-val:  84.86, L-tr: 0.0798, L-val: 0.5861
INFO:root:120: Acc-tr:  94.18, Acc-val:  81.64, L-tr: 0.1633, L-val: 0.7858
INFO:root:121: Acc-tr:  95.30, Acc-val:  82.86, L-tr: 0.1339, L-val: 0.7108
INFO:root:122: Acc-tr:  97.26, Acc-val:  84.32, L-tr: 0.0800, L-val: 0.5993
INFO:root:123: Acc-tr:  95.58, Acc-val:  83.32, L-tr: 0.1238, L-val: 0.7187
INFO:root:124: Acc-tr:  94.05, Acc-val:  82.17, L-tr: 0.1645, L-val: 0.7618
INFO:root:125: Acc-tr:  96.49, Acc-val:  83.44, L-tr: 0.0975, L-val: 0.6735
INFO:root:126: Acc-tr:  96.64, Acc-val:  83.55, L-tr: 0.0956, L-val: 0.6251
INFO:root:127: Acc-tr:  96.48, Acc-val:  83.71, L-tr: 0.0982, L-val: 0.6485
INFO:root:128: Acc-tr:  95.78, Acc-val:  82.88, L-tr: 0.1120, L-val: 0.7139
INFO:root:129: Acc-tr:  93.06, Acc-val:  81.51, L-tr: 0.1998, L-val: 0.7871
INFO:root:130: Acc-tr:  97.53, Acc-val:  84.66, L-tr: 0.0714, L-val: 0.6212
INFO:root:131: Acc-tr:  97.06, Acc-val:  84.58, L-tr: 0.0818, L-val: 0.6491
INFO:root:132: Acc-tr:  98.29, Acc-val:  85.62, L-tr: 0.0515, L-val: 0.5638
INFO:root:133: Acc-tr:  96.97, Acc-val:  84.27, L-tr: 0.0852, L-val: 0.6287
INFO:root:134: Acc-tr:  97.03, Acc-val:  83.97, L-tr: 0.0837, L-val: 0.6493
INFO:root:135: Acc-tr:  95.29, Acc-val:  83.19, L-tr: 0.1359, L-val: 0.7305
INFO:root:136: Acc-tr:  97.34, Acc-val:  84.58, L-tr: 0.0752, L-val: 0.6438
INFO:root:137: Acc-tr:  94.83, Acc-val:  82.73, L-tr: 0.1409, L-val: 0.7138
INFO:root:138: Acc-tr:  97.68, Acc-val:  85.17, L-tr: 0.0675, L-val: 0.5824
INFO:root:139: Acc-tr:  97.04, Acc-val:  84.59, L-tr: 0.0829, L-val: 0.6464
INFO:root:140: Acc-tr:  98.44, Acc-val:  85.36, L-tr: 0.0466, L-val: 0.5910
INFO:root:141: Acc-tr:  98.17, Acc-val:  84.96, L-tr: 0.0552, L-val: 0.6052
INFO:root:142: Acc-tr:  94.36, Acc-val:  81.48, L-tr: 0.1572, L-val: 0.7640
INFO:root:143: Acc-tr:  97.25, Acc-val:  84.51, L-tr: 0.0749, L-val: 0.6220
INFO:root:144: Acc-tr:  96.84, Acc-val:  84.25, L-tr: 0.0877, L-val: 0.6338
INFO:root:145: Acc-tr:  96.33, Acc-val:  83.59, L-tr: 0.1024, L-val: 0.6723
INFO:root:146: Acc-tr:  96.37, Acc-val:  83.89, L-tr: 0.0985, L-val: 0.6300
INFO:root:147: Acc-tr:  94.11, Acc-val:  83.00, L-tr: 0.1839, L-val: 0.7853
INFO:root:148: Acc-tr:  97.79, Acc-val:  84.85, L-tr: 0.0650, L-val: 0.6008
INFO:root:149: Acc-tr:  97.79, Acc-val:  85.11, L-tr: 0.0642, L-val: 0.6234
INFO:root:150: Acc-tr:  99.73, Acc-val:  86.98, L-tr: 0.0143, L-val: 0.5076
INFO:root:151: Acc-tr:  99.90, Acc-val:  87.16, L-tr: 0.0089, L-val: 0.5038
INFO:root:152: Acc-tr:  99.93, Acc-val:  87.44, L-tr: 0.0069, L-val: 0.5028
INFO:root:153: Acc-tr:  99.95, Acc-val:  87.38, L-tr: 0.0058, L-val: 0.5117
INFO:root:154: Acc-tr:  99.97, Acc-val:  87.70, L-tr: 0.0041, L-val: 0.5058
INFO:root:155: Acc-tr:  99.98, Acc-val:  87.70, L-tr: 0.0036, L-val: 0.5059
INFO:root:156: Acc-tr:  99.98, Acc-val:  87.57, L-tr: 0.0036, L-val: 0.5189
INFO:root:157: Acc-tr:  99.98, Acc-val:  87.59, L-tr: 0.0035, L-val: 0.5231
INFO:root:158: Acc-tr:  99.99, Acc-val:  87.91, L-tr: 0.0029, L-val: 0.5229
INFO:root:159: Acc-tr:  99.99, Acc-val:  87.83, L-tr: 0.0024, L-val: 0.5285
INFO:root:160: Acc-tr:  99.99, Acc-val:  87.88, L-tr: 0.0020, L-val: 0.5239
INFO:root:161: Acc-tr: 100.00, Acc-val:  87.91, L-tr: 0.0019, L-val: 0.5321
INFO:root:162: Acc-tr: 100.00, Acc-val:  87.89, L-tr: 0.0017, L-val: 0.5318
INFO:root:163: Acc-tr: 100.00, Acc-val:  87.97, L-tr: 0.0016, L-val: 0.5357
INFO:root:164: Acc-tr: 100.00, Acc-val:  87.92, L-tr: 0.0016, L-val: 0.5362
INFO:root:165: Acc-tr: 100.00, Acc-val:  87.91, L-tr: 0.0015, L-val: 0.5394
