INFO:root:Number of parameters: 272282
INFO:root:000: Acc-tr:  62.31, Acc-val:  61.01, L-tr: 1.0435, L-val: 1.0677
INFO:root:001: Acc-tr:  68.76, Acc-val:  67.33, L-tr: 0.8883, L-val: 0.9483
INFO:root:002: Acc-tr:  75.92, Acc-val:  73.86, L-tr: 0.6840, L-val: 0.7461
INFO:root:003: Acc-tr:  80.57, Acc-val:  77.56, L-tr: 0.5599, L-val: 0.6503
INFO:root:004: Acc-tr:  77.99, Acc-val:  74.96, L-tr: 0.6421, L-val: 0.7570
INFO:root:005: Acc-tr:  80.41, Acc-val:  76.99, L-tr: 0.5532, L-val: 0.6722
INFO:root:006: Acc-tr:  82.24, Acc-val:  78.15, L-tr: 0.5121, L-val: 0.6710
INFO:root:007: Acc-tr:  85.12, Acc-val:  79.80, L-tr: 0.4226, L-val: 0.5977
INFO:root:008: Acc-tr:  82.11, Acc-val:  76.80, L-tr: 0.5269, L-val: 0.7229
INFO:root:009: Acc-tr:  86.75, Acc-val:  80.50, L-tr: 0.3752, L-val: 0.5741
INFO:root:010: Acc-tr:  86.10, Acc-val:  79.58, L-tr: 0.3843, L-val: 0.6236
INFO:root:011: Acc-tr:  89.66, Acc-val:  82.62, L-tr: 0.2951, L-val: 0.5375
INFO:root:012: Acc-tr:  89.69, Acc-val:  82.03, L-tr: 0.2911, L-val: 0.5738
INFO:root:013: Acc-tr:  89.14, Acc-val:  81.35, L-tr: 0.3000, L-val: 0.5755
INFO:root:014: Acc-tr:  88.95, Acc-val:  80.56, L-tr: 0.3059, L-val: 0.5938
INFO:root:015: Acc-tr:  87.30, Acc-val:  79.60, L-tr: 0.3641, L-val: 0.6842
INFO:root:016: Acc-tr:  90.37, Acc-val:  81.83, L-tr: 0.2767, L-val: 0.5773
INFO:root:017: Acc-tr:  90.60, Acc-val:  81.29, L-tr: 0.2639, L-val: 0.6092
INFO:root:018: Acc-tr:  90.83, Acc-val:  81.96, L-tr: 0.2554, L-val: 0.5832
INFO:root:019: Acc-tr:  92.91, Acc-val:  82.86, L-tr: 0.2086, L-val: 0.5662
INFO:root:020: Acc-tr:  92.96, Acc-val:  82.90, L-tr: 0.2005, L-val: 0.5464
INFO:root:021: Acc-tr:  90.29, Acc-val:  80.74, L-tr: 0.2716, L-val: 0.6451
INFO:root:022: Acc-tr:  93.26, Acc-val:  83.27, L-tr: 0.1857, L-val: 0.5559
INFO:root:023: Acc-tr:  92.05, Acc-val:  82.21, L-tr: 0.2247, L-val: 0.6222
INFO:root:024: Acc-tr:  92.38, Acc-val:  82.06, L-tr: 0.2157, L-val: 0.5799
INFO:root:025: Acc-tr:  92.00, Acc-val:  81.69, L-tr: 0.2261, L-val: 0.6581
INFO:root:026: Acc-tr:  91.91, Acc-val:  81.01, L-tr: 0.2258, L-val: 0.6496
INFO:root:027: Acc-tr:  91.65, Acc-val:  80.92, L-tr: 0.2367, L-val: 0.6714
INFO:root:028: Acc-tr:  92.57, Acc-val:  81.71, L-tr: 0.2107, L-val: 0.6448
INFO:root:029: Acc-tr:  95.07, Acc-val:  83.61, L-tr: 0.1384, L-val: 0.5749
INFO:root:030: Acc-tr:  91.54, Acc-val:  80.68, L-tr: 0.2544, L-val: 0.6867
INFO:root:031: Acc-tr:  93.52, Acc-val:  82.02, L-tr: 0.1778, L-val: 0.6295
INFO:root:032: Acc-tr:  94.54, Acc-val:  82.48, L-tr: 0.1521, L-val: 0.6184
INFO:root:033: Acc-tr:  93.98, Acc-val:  82.06, L-tr: 0.1681, L-val: 0.6256
INFO:root:034: Acc-tr:  94.47, Acc-val:  82.46, L-tr: 0.1540, L-val: 0.6126
INFO:root:035: Acc-tr:  95.45, Acc-val:  83.32, L-tr: 0.1280, L-val: 0.5732
INFO:root:036: Acc-tr:  94.05, Acc-val:  82.17, L-tr: 0.1657, L-val: 0.6444
INFO:root:037: Acc-tr:  94.80, Acc-val:  82.51, L-tr: 0.1460, L-val: 0.5998
INFO:root:038: Acc-tr:  94.68, Acc-val:  82.97, L-tr: 0.1494, L-val: 0.6163
INFO:root:039: Acc-tr:  95.05, Acc-val:  82.99, L-tr: 0.1412, L-val: 0.5989
INFO:root:040: Acc-tr:  90.41, Acc-val:  78.74, L-tr: 0.2786, L-val: 0.7770
INFO:root:041: Acc-tr:  92.79, Acc-val:  80.41, L-tr: 0.1952, L-val: 0.7188
INFO:root:042: Acc-tr:  95.79, Acc-val:  83.23, L-tr: 0.1201, L-val: 0.6185
INFO:root:043: Acc-tr:  95.51, Acc-val:  82.49, L-tr: 0.1264, L-val: 0.5847
INFO:root:044: Acc-tr:  95.61, Acc-val:  83.19, L-tr: 0.1248, L-val: 0.6200
INFO:root:045: Acc-tr:  95.74, Acc-val:  83.35, L-tr: 0.1189, L-val: 0.6027
INFO:root:046: Acc-tr:  94.82, Acc-val:  82.10, L-tr: 0.1496, L-val: 0.6468
INFO:root:047: Acc-tr:  94.32, Acc-val:  82.24, L-tr: 0.1545, L-val: 0.6188
INFO:root:048: Acc-tr:  96.56, Acc-val:  83.83, L-tr: 0.0996, L-val: 0.5882
INFO:root:049: Acc-tr:  95.76, Acc-val:  83.28, L-tr: 0.1225, L-val: 0.6072
INFO:root:050: Acc-tr:  94.39, Acc-val:  82.29, L-tr: 0.1570, L-val: 0.6420
INFO:root:051: Acc-tr:  95.40, Acc-val:  82.89, L-tr: 0.1260, L-val: 0.6252
INFO:root:052: Acc-tr:  95.07, Acc-val:  82.68, L-tr: 0.1368, L-val: 0.6438
INFO:root:053: Acc-tr:  97.24, Acc-val:  84.50, L-tr: 0.0836, L-val: 0.5523
INFO:root:054: Acc-tr:  95.56, Acc-val:  83.10, L-tr: 0.1256, L-val: 0.6310
INFO:root:055: Acc-tr:  96.24, Acc-val:  83.68, L-tr: 0.1096, L-val: 0.5993
INFO:root:056: Acc-tr:  95.45, Acc-val:  82.27, L-tr: 0.1289, L-val: 0.6648
INFO:root:057: Acc-tr:  96.35, Acc-val:  83.38, L-tr: 0.1008, L-val: 0.6117
INFO:root:058: Acc-tr:  96.20, Acc-val:  83.91, L-tr: 0.1084, L-val: 0.6101
INFO:root:059: Acc-tr:  94.83, Acc-val:  82.15, L-tr: 0.1422, L-val: 0.6641
INFO:root:060: Acc-tr:  96.17, Acc-val:  83.81, L-tr: 0.1111, L-val: 0.5863
INFO:root:061: Acc-tr:  95.69, Acc-val:  82.66, L-tr: 0.1208, L-val: 0.6276
INFO:root:062: Acc-tr:  95.52, Acc-val:  83.02, L-tr: 0.1262, L-val: 0.6163
INFO:root:063: Acc-tr:  96.74, Acc-val:  83.65, L-tr: 0.0945, L-val: 0.5824
