INFO:root:Number of parameters: 369498
INFO:root:061: Acc-tr:  63.34, Acc-val:   9.88, L-tr: 1.0521, L-val: 4.9151
INFO:root:062: Acc-tr:  68.53, Acc-val:   9.97, L-tr: 0.9155, L-val: 4.8294
INFO:root:063: Acc-tr:  63.92, Acc-val:  10.34, L-tr: 1.0628, L-val: 4.9039
INFO:root:064: Acc-tr:  71.10, Acc-val:   9.91, L-tr: 0.8266, L-val: 4.7177
INFO:root:065: Acc-tr:  58.25, Acc-val:  10.08, L-tr: 1.3105, L-val: 5.6285
INFO:root:066: Acc-tr:  75.84, Acc-val:  10.61, L-tr: 0.7161, L-val: 4.7906
INFO:root:067: Acc-tr:  72.61, Acc-val:   9.88, L-tr: 0.7866, L-val: 4.7190
INFO:root:068: Acc-tr:  67.57, Acc-val:   9.66, L-tr: 0.9675, L-val: 5.3146
INFO:root:069: Acc-tr:  66.96, Acc-val:  10.28, L-tr: 0.9841, L-val: 5.3754
INFO:root:070: Acc-tr:  70.70, Acc-val:  10.19, L-tr: 0.8418, L-val: 4.8812
INFO:root:071: Acc-tr:  70.94, Acc-val:   9.71, L-tr: 0.9033, L-val: 5.0044
INFO:root:072: Acc-tr:  76.48, Acc-val:  10.31, L-tr: 0.6862, L-val: 4.6971
INFO:root:073: Acc-tr:  73.00, Acc-val:  10.13, L-tr: 0.8099, L-val: 5.2701
INFO:root:074: Acc-tr:  60.21, Acc-val:  10.07, L-tr: 1.2131, L-val: 5.5751
INFO:root:075: Acc-tr:  77.12, Acc-val:  10.13, L-tr: 0.6753, L-val: 4.6164
INFO:root:076: Acc-tr:  68.10, Acc-val:  10.90, L-tr: 0.9768, L-val: 5.4945
INFO:root:077: Acc-tr:  72.33, Acc-val:  10.76, L-tr: 0.8049, L-val: 4.7748
INFO:root:078: Acc-tr:  61.94, Acc-val:  11.05, L-tr: 1.2298, L-val: 5.7575
INFO:root:079: Acc-tr:  78.96, Acc-val:   9.99, L-tr: 0.6325, L-val: 4.6615
